Date,Tokyo,Naha,Sapporo
2022/1/1,3.4,17,-7.7
2022/1/2,3.5,16.7,-3.8
2022/1/3,5.5,18,-6.9
2022/1/4,5.2,18.5,-6.3
2022/1/5,4.1,19.8,-2.6
2022/1/6,0.7,19.5,-5.2
2022/1/7,2.6,18.4,-5.4
2022/1/8,4.5,19,-3.2
2022/1/9,6.3,18.7,-1.6
2022/1/10,7.7,19.5,-3.8
2022/1/11,5.7,16,-1.3
2022/1/12,5,14.7,1
2022/1/13,5.7,14.7,0.4
2022/1/14,4.4,15,-0.2
2022/1/15,5.5,15.9,0.9
2022/1/16,5.4,18.1,0
2022/1/17,6,15.8,-0.1
2022/1/18,4.4,16.2,-2.9
2022/1/19,3.7,15.9,-2.8
2022/1/20,3.4,15.9,-5.2
2022/1/21,3,16.5,-3.8
2022/1/22,4.5,18.6,-3.2
2022/1/23,5.1,20.6,-3.7
2022/1/24,6.4,21.1,-3.3
2022/1/25,5.2,19.2,-3.3
2022/1/26,5.5,19,-0.6
2022/1/27,6.8,20.5,-1.3
2022/1/28,6.6,19.5,-3.8
2022/1/29,5.9,18,-5.5
2022/1/30,5.2,17.3,-7.3
2022/1/31,4.9,15.4,-7.8
2022/2/1,5.6,17.3,-3.6
2022/2/2,5.5,18.2,-2.4
2022/2/3,5.8,18.8,-3.5
2022/2/4,4.9,16.6,-4.2
2022/2/5,3.5,15.6,-4.9
2022/2/6,2.3,15.2,-4.1
2022/2/7,4.5,17.7,-2.6
2022/2/8,5.3,19.7,-3.9
2022/2/9,6.2,18.7,-2.7
2022/2/10,2.3,17.3,-4.3
2022/2/11,4.1,17.9,-3.2
2022/2/12,4.7,20.7,-2.5
2022/2/13,3.1,20.6,-1
2022/2/14,3.9,17.7,-2
2022/2/15,5.5,17.9,-4.1
2022/2/16,6,16.2,-2.3
2022/2/17,4.6,13.9,-1.8
2022/2/18,5.7,15.2,-2.9
2022/2/19,5,18.4,-1.8
2022/2/20,5.9,14.4,-0.6
2022/2/21,4.1,14.4,-2.3
2022/2/22,4.4,15.4,-2.4
2022/2/23,4.4,16,-2.5
2022/2/24,4.8,15.4,-1.5
2022/2/25,6.5,15.7,0.4
2022/2/26,8.6,18.4,3.9
2022/2/27,9.5,18.9,1.5
2022/2/28,9.8,20.2,-0.4
2022/3/1,11,21.7,0.5
2022/3/2,11.2,18.8,0
2022/3/3,9.5,17.8,-0.7
2022/3/4,8.1,20.4,0.6
2022/3/5,11.2,21.1,0.9
2022/3/6,8.1,18.4,0.9
2022/3/7,8.3,15.7,1.3
2022/3/8,6.3,17.2,1.3
2022/3/9,7.9,17.7,1.3
2022/3/10,9,18.7,3.1
2022/3/11,12,20.3,4.1
2022/3/12,14.6,19.9,3.1
2022/3/13,14.7,21.7,2.6
2022/3/14,16.4,21.7,3.8
2022/3/15,12.7,21.3,1.1
2022/3/16,14.1,22.1,2.8
2022/3/17,14.1,22.5,1.6
2022/3/18,5.2,21.5,0.9
2022/3/19,10.1,20.3,0.9
2022/3/20,9.9,20.8,0.7
2022/3/21,9.6,22.3,0.7
2022/3/22,3.7,21.5,1.8
2022/3/23,5.2,19.2,3.2
2022/3/24,8.2,19.5,4.1
2022/3/25,12.2,22,5.3
2022/3/26,16.1,22.7,5.7
2022/3/27,16.2,19.1,7.2
2022/3/28,13.5,18.2,5.1
2022/3/29,10.2,21,6.9
2022/3/30,14.5,22.5,4.8
2022/3/31,15.1,23.8,3.7
2022/4/1,7.6,20.2,1.2
2022/4/2,8.5,17.5,5
2022/4/3,8.2,17.7,8
2022/4/4,8.5,19.1,8.7
2022/4/5,12.6,19.5,9.2
2022/4/6,15.5,20.3,5.1
2022/4/7,14.3,20.2,5.1
2022/4/8,15.4,21.2,5.1
2022/4/9,17.2,21.9,8.5
2022/4/10,19.6,23,10
2022/4/11,18.9,24.2,11.8
2022/4/12,20,24,11.8
2022/4/13,20.8,24,6.4
2022/4/14,12.3,24.1,6.2
2022/4/15,10.1,23.8,6.2
2022/4/16,12.5,21.4,7.7
2022/4/17,13.7,20.3,9.5
2022/4/18,14.3,21.4,8.4
2022/4/19,15.3,21,8.7
2022/4/20,12.2,22.2,11.3
2022/4/21,16.4,24,15
2022/4/22,19.2,25.3,14.8
2022/4/23,20.8,25.4,11.1
2022/4/24,17.3,24.1,10.9
2022/4/25,19.9,25.9,12
2022/4/26,21.3,26.3,13.7
2022/4/27,23,26.5,12.2
2022/4/28,16.9,26.7,10.4
2022/4/29,12.9,25.5,9.3
2022/4/30,12.6,23,11
2022/5/1,12.7,21.3,8.3
2022/5/2,13.3,18.2,9.2
2022/5/3,15.2,21.6,9.6
2022/5/4,17.9,21.7,9.6
2022/5/5,19.8,22.9,12.1
2022/5/6,19.5,23.6,18.9
2022/5/7,18.5,25.2,15.9
2022/5/8,18.3,25.1,11.2
2022/5/9,14.1,24.6,13.9
2022/5/10,16.5,24.4,16.6
2022/5/11,18.7,25.4,18.8
2022/5/12,19.4,26.2,17.4
2022/5/13,18.8,25.8,15
2022/5/14,21.8,23.6,14.9
2022/5/15,17.5,22.1,13.1
2022/5/16,14.5,18.6,14.9
2022/5/17,15.7,19.6,16.1
2022/5/18,18.8,22.9,17.5
2022/5/19,20.5,23.8,16
2022/5/20,21.2,24,17.1
2022/5/21,18.2,24.2,18.6
2022/5/22,19,24.3,18.3
2022/5/23,19.6,22.9,15
2022/5/24,20.9,23.7,13.6
2022/5/25,21.8,24.1,20.4
2022/5/26,21.6,23.4,20.6
2022/5/27,21,21.9,16.5
2022/5/28,22.4,23.7,14.2
2022/5/29,24.1,26.7,12.4
2022/5/30,22.3,27.5,15.6
2022/5/31,18.7,25.4,11.7
2022/6/1,21.8,26.9,12.7
2022/6/2,22.5,24.8,13.7
2022/6/3,20.6,25.5,12.7
2022/6/4,20.3,24.8,11.6
2022/6/5,21.5,27.5,12.2
2022/6/6,16.6,26.1,14.1
2022/6/7,16.8,23.3,14.4
2022/6/8,17.2,23.9,13.6
2022/6/9,19.1,22.9,14.6
2022/6/10,21.2,25.8,17.3
2022/6/11,21.9,26,15.7
2022/6/12,21.4,25.2,13.5
2022/6/13,21.2,27.5,16.1
2022/6/14,17.3,28.2,15.5
2022/6/15,16.9,25.6,15.3
2022/6/16,20.3,24.5,16.5
2022/6/17,22.8,25.7,16.1
2022/6/18,22.7,27.7,20.1
2022/6/19,24,28.4,20.8
2022/6/20,25.1,28.5,18.1
2022/6/21,25.2,28.7,18
2022/6/22,23.8,28.9,19.9
2022/6/23,23.5,29.1,17
2022/6/24,27.5,29.4,18.7
2022/6/25,30,29.3,24
2022/6/26,29.6,29.4,24
2022/6/27,29.5,29.3,20.1
2022/6/28,29.2,28.7,19.1
2022/6/29,29.4,28.8,19.3
2022/6/30,30.8,28.4,19.7
2022/7/1,30.4,27.1,20.4
2022/7/2,29.5,26.8,21.5
2022/7/3,28.9,26.5,25.9
2022/7/4,26.5,28.9,24.8
2022/7/5,26.2,28.7,23.6
2022/7/6,26,28.7,24.8
2022/7/7,25.5,29.2,25
2022/7/8,26,29.3,23.2
2022/7/9,26.6,29.8,24.2
2022/7/10,27.4,30.1,24.8
2022/7/11,28.1,30,24.3
2022/7/12,25.9,30,24.4
2022/7/13,23.7,30.3,23.8
2022/7/14,23.8,30.2,22.9
2022/7/15,23.8,30.1,21.2
2022/7/16,23.5,29.5,20.3
2022/7/17,25.4,29.8,20.3
2022/7/18,27.5,29.8,19.8
2022/7/19,27.4,30,23.2
2022/7/20,29.7,30.2,22.9
2022/7/21,28.1,30.3,21.8
2022/7/22,28.3,30.4,22
2022/7/23,28.7,30.4,21.2
2022/7/24,28.3,30.6,20.9
2022/7/25,29.2,30.2,21.2
2022/7/26,26.6,28.6,23.2
2022/7/27,29.4,29.3,24.1
2022/7/28,28.8,29.3,23.6
2022/7/29,29.1,29.8,24.3
2022/7/30,29.9,29.3,25.3
2022/7/31,30.8,27.4,26
2022/8/1,30.6,27,22.8
2022/8/2,31.6,29,22.9
2022/8/3,31.5,28.6,23.3
2022/8/4,24.6,29.5,23.1
2022/8/5,23.8,29.6,21.7
2022/8/6,25.2,29.4,21.8
2022/8/7,27.6,29.7,22.7
2022/8/8,29.8,30,24.2
2022/8/9,30.9,30.1,24.9
2022/8/10,30.5,30.2,23.9
2022/8/11,29.5,29.6,23.8
2022/8/12,28.3,29.9,24.9
2022/8/13,25.5,30.2,24.8
2022/8/14,28.2,29.8,23.4
2022/8/15,29.4,30.1,22.6
2022/8/16,31,30.6,21.6
2022/8/17,27.3,29.6,23.2
2022/8/18,26.8,29.9,21.3
2022/8/19,27.5,30.1,23.4
2022/8/20,26.4,30.1,21.9
2022/8/21,26,30.2,22.9
2022/8/22,26.2,30.6,23.1
2022/8/23,28.7,30.8,24.3
2022/8/24,27.8,30.6,21.9
2022/8/25,25.7,30.5,21.7
2022/8/26,27,30.6,22
2022/8/27,29,28.7,22.4
2022/8/28,23.7,30.1,22.4
2022/8/29,23.3,29.9,21.1
2022/8/30,22.8,30.5,21.4
2022/8/31,27.1,29.9,19.3
2022/9/1,27.1,29.1,20.7
2022/9/2,23.2,28.8,20.2
2022/9/3,24.6,26.2,18.8
2022/9/4,26.1,27.8,20.5
2022/9/5,26.6,28.1,20.9
2022/9/6,27.8,28.3,22.6
2022/9/7,26.8,28.1,24.4
2022/9/8,23.5,28.1,21.3
2022/9/9,24.5,28.8,21.7
2022/9/10,25.3,29,20.1
2022/9/11,24.4,28.7,20
2022/9/12,25.8,29,21.8
2022/9/13,26.1,28.6,23.2
2022/9/14,26.7,29.2,17.6
2022/9/15,23.6,28.8,18.5
2022/9/16,25.1,29,19.7
2022/9/17,26.9,28.5,22.4
2022/9/18,25.2,27.9,22.4
2022/9/19,27.1,28,19.8
2022/9/20,22.3,27.9,14.7
2022/9/21,19.5,27.2,14.7
2022/9/22,20.3,27.9,16.1
2022/9/23,21.7,28.4,18.2
2022/9/24,23.1,28.2,20.1
2022/9/25,22.9,27.5,19
2022/9/26,23.3,28,18.7
2022/9/27,23.2,28.3,17.9
2022/9/28,22.8,28.4,18.7
2022/9/29,22.4,28.1,17.7
2022/9/30,23.2,27.9,20.1
2022/10/1,23.6,28.1,21.9
2022/10/2,23.5,28.1,18.9
2022/10/3,23,28.5,19.5
2022/10/4,25.2,28.1,16.2
2022/10/5,19.8,27.8,9.9
2022/10/6,13.1,27.5,9.9
2022/10/7,12.4,27,9.6
2022/10/8,16.1,26.2,11.3
2022/10/9,17,26.6,12.3
2022/10/10,18.1,25.3,14.2
2022/10/11,21.6,24.2,15
2022/10/12,18.5,25.3,13.4
2022/10/13,15.8,27.1,11.9
2022/10/14,17.9,27.8,13.7
2022/10/15,20.2,28,15.9
2022/10/16,20,28.3,15.8
2022/10/17,20.1,25.8,13.4
2022/10/18,16.2,21.7,9
2022/10/19,14.6,23.6,9.8
2022/10/20,14.7,25.1,12.6
2022/10/21,16.7,26.6,14.9
2022/10/22,16.6,27.1,16.4
2022/10/23,18.2,25.8,10
2022/10/24,13.3,24,6.2
2022/10/25,12.8,22.7,6.2
2022/10/26,13.8,24.2,6.7
2022/10/27,12.8,25.3,10.2
2022/10/28,13.5,24.8,13
2022/10/29,15.8,25.6,11.6
2022/10/30,13.8,25.5,10.7
2022/10/31,14.7,23.8,10.1
2022/11/1,14.8,22.2,11.9
2022/11/2,16.7,22.9,10.7
2022/11/3,17.8,25.1,7.8
2022/11/4,15.5,24.3,6.3
2022/11/5,14,22.6,6.2
2022/11/6,13.5,22.2,6.6
2022/11/7,13.7,23.4,6
2022/11/8,15.9,24.1,6.6
2022/11/9,14.6,24.1,9.9
2022/11/10,15.2,22.5,9.7
2022/11/11,16.1,24.6,6.8
2022/11/12,16.6,25.4,10.7
2022/11/13,18,25.4,11.9
2022/11/14,16.1,23.3,5.2
2022/11/15,11.1,22.4,5.2
2022/11/16,12.4,22.7,3.3
2022/11/17,12.8,24,4.6
2022/11/18,13.2,24.9,5.6
2022/11/19,13.7,24.8,6.2
2022/11/20,11.6,24.7,8
2022/11/21,13.4,24.6,9.9
2022/11/22,15.4,24.7,5.3
2022/11/23,11.7,22.5,4.9
2022/11/24,15.3,22.4,6.3
2022/11/25,13.5,22.3,7.4
2022/11/26,12.7,23,10.1
2022/11/27,14.4,23.3,3.5
2022/11/28,11.7,23.8,4.9
2022/11/29,16.7,24.9,10.1
2022/11/30,16.6,22,0.3
2022/12/1,10.1,19.4,-4.7
2022/12/2,9.4,19.5,-3.5
2022/12/3,7.8,21,0.4
2022/12/4,10.2,23.4,-2.3
2022/12/5,7.6,22.4,-3.5
2022/12/6,6.1,19.3,-0.1
2022/12/7,8.5,19.7,0.3
2022/12/8,9.3,21.6,-1.1
2022/12/9,9.3,20.5,-0.3
2022/12/10,10.4,21.7,0.6
2022/12/11,9.5,21.3,-0.6
2022/12/12,8.2,19.9,-1.3
2022/12/13,7.2,19.3,3.9
2022/12/14,9.2,17.9,-3.7
2022/12/15,7,18.5,-5
2022/12/16,8.2,19.9,-5
2022/12/17,6.7,18.4,-3.5
2022/12/18,6.5,14.1,-5
2022/12/19,4.9,16,-6.8
2022/12/20,5.4,18.2,-4.7
2022/12/21,6.5,18.9,-2
2022/12/22,7.2,16.3,-0.7
2022/12/23,5.4,14.2,0.8
2022/12/24,6.2,14.4,2.6
2022/12/25,6.9,15.6,1.7
2022/12/26,6.3,17,3.1
2022/12/27,6.8,17.1,1.5
2022/12/28,6.5,18.3,0.8
2022/12/29,8.1,19,-2.3
2022/12/30,6.6,16.4,-1.8
2022/12/31,5.7,17.2,0.3